"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Chocolate en Polvo 1kg","7000000000315","Bebidas","2025-03-20","Del Valle",26.52,425
"Pimiento Verde Mediano","7000000000316","Verduras","2027-07-08","NaturVerd",19.23,464
"Arroz Blanco 2L","7000000000317","Granos y Cereales","2026-03-18","Maseca",42.74,281
"Harina de Trigo Grande","7000000000318","Harinas y Reposteria","2027-05-17","Maizena",13.23,148
"Pan de Molde Familiar","7000000000319","Panaderia","2028-08-01","Marinela",49.28,235
"Galletas de Chocolate Mediano","7000000000320","Panaderia","2028-05-07","Bimbo",35.87,324
"Chile Jalapeño 100g","7000000000321","Verduras","2025-10-22","Verde",10.16,1
"Clara de Huevo Pasteurizada 100g","7000000000322","Huevos","2028-03-14","Gold Kist",33.75,341
"Enjuague Bucal Grande","7000000000323","Higiene Personal","2027-01-09","Colgate",20.75,270
"Salchicha de Pollo Grande","7000000000324","Especias y Condimentos","2028-02-09","Schwartz",5.71,448
"Pimiento Verde 6-pack","7000000000325","Verduras","2027-02-04","Del Campo",9.1,9
"Manzana Verde 330ml","7000000000326","Frutas","2026-05-09","Dole",30.12,322
"Pasta Penne 750ml","7000000000327","Granos y Cereales","2025-10-01","Mi Cosecha",7.95,280
"Leche de Almendra Pequeño","7000000000328","Lacteos","2028-11-25","Lala",40.89,94
"Nuggets de Pollo 500ml","7000000000329","Carnes","2027-07-27","Suiza",36.29,104
"Pan Integral 1L","7000000000330","Panaderia","2026-10-09","Marinela",56.54,264
"Arándano Mediano","7000000000331","Frutas","2026-06-03","NaturFresh",4.35,332
"Jarabe de Maple 330ml","7000000000332","Endulzantes","2025-04-08","Azucarera",53.02,170
"Salsa Teriyaki 330ml","7000000000333","Especias y Condimentos","2027-06-14","McCormick",36.13,381
"Coco Rallado 750ml","7000000000334","Frutas","2026-01-18","Del Campo",21.36,255
"Mandarina 2L","7000000000335","Frutas","2025-06-19","NaturFresh",29.9,41
"Melón 500g","7000000000336","Frutas","2028-01-23","NaturFresh",13.87,53
"Arroz Blanco 200ml","7000000000337","Granos y Cereales","2026-09-20","Barilla",25.62,368
"Sandía Pequeño","7000000000338","Frutas","2026-12-21","Chiquita",19.54,373
"Leche Evaporada Extra","7000000000339","Lacteos","2027-06-10","Alpura",25.59,406
"Tortillas de Maíz 6-pack","7000000000340","Panaderia","2027-01-15","Bimbo",34.68,384
"Servilletas de Papel","7000000000341","Limpieza del Hogar","2025-10-20","Fabuloso",77.89,348
"Dulce de Leche 1L","7000000000342","Lacteos","2025-09-16","Sello Rojo",10.04,399
"Champú 330ml","7000000000343","Higiene Personal","2027-02-24","Head & Shoulders",95.7,17
"Calamar Pequeño","7000000000344","Mariscos","2027-01-30","Ocean Fresh",118.12,391
"Bizcocho 1kg","7000000000345","Panaderia","2027-12-21","El Molino",27.08,161
"Acondicionador 100g","7000000000346","Higiene Personal","2025-08-21","Head & Shoulders",17.2,96
"Berenjena 6-pack","7000000000347","Verduras","2028-02-25","Verde",5.3,397
"Vinagre de Manzana 250g","7000000000348","Salsas","2028-06-07","Cholula",21.42,470
"Pepino 250ml","7000000000349","Verduras","2025-10-05","NaturVerd",25.88,232
"Manteca Vegetal 500ml","7000000000350","Aceites y Grasas","2028-10-28","La Española",116.76,164
"Hilo Dental 500ml","7000000000351","Higiene Personal","2028-02-01","Head & Shoulders",61.08,457
"Jugo de Uva 500g","7000000000352","Bebidas","2027-01-11","Del Valle",43.16,63
"Pimienta Negra 100g","7000000000353","Especias y Condimentos","2027-10-09","Knorr",5.92,284
"Lomo de Cerdo Pequeño","7000000000354","Carnes","2028-02-04","Colonial",52.06,453
"Frijoles Negros 200ml","7000000000355","Granos y Cereales","2027-03-27","Maseca",49.98,369
"Coliflor Familiar","7000000000356","Verduras","2027-04-19","Verde",25.05,38
"Pollo Enlatado 500ml","7000000000357","Enlatados","2027-07-11","Hunt's",26.3,265
"Leche de Coco Premium","7000000000358","Lacteos","2028-08-03","Lala",49.08,394
"Frijoles Enlatados Grande","7000000000359","Granos y Cereales","2025-04-24","Knorr",42.58,266
"Pera en Lata 500g","7000000000360","Enlatados","2025-11-28","Hunt's",21.29,364
"Canela Grande","7000000000361","Especias y Condimentos","2026-08-05","Maggi",34.61,129
"Sal de Mesa 2L","7000000000362","Especias y Condimentos","2025-09-14","Schwartz",26.88,315
"Pechuga de Pollo Grande","7000000000363","Carnes","2028-08-05","San Rafael",58.67,483
"Tocino 500g","7000000000364","Carnes","2028-09-11","Suiza",136.16,462
"Calamar Light","7000000000365","Mariscos","2025-03-26","MarMar",213.3,15
"Arroz Blanco Light","7000000000366","Granos y Cereales","2026-06-27","Maseca",34.65,393
"Lomo de Cerdo Extra","7000000000367","Carnes","2028-08-01","Noel",35.15,456
"Suavizante de Ropa 200ml","7000000000368","Limpieza del Hogar","2028-08-07","Lysol",86.53,248
"Mayonesa 200ml","7000000000369","Salsas","2027-07-18","Cholula",12.92,31
"Aceite de Oliva Familiar","7000000000370","Aceites y Grasas","2027-09-19","La Española",66.44,175
"Huevo de Gallina 750ml","7000000000371","Huevos","2026-10-16","Los Pollos",48.04,441
"Leche de Coco 1kg","7000000000372","Lacteos","2027-01-29","Sello Rojo",43.62,55
"Café Instantáneo Pequeño","7000000000373","Bebidas","2025-09-08","Del Valle",25.06,127
"Champiñones Enlatados 1L","7000000000374","Enlatados","2026-08-18","Clemente Jacques",43.09,443
"Clara de Huevo Pasteurizada 100g","7000000000375","Huevos","2025-11-24","NaturEgg",51.61,479
"Jamón 250g","7000000000376","Carnes","2025-11-23","Colonial",114.71,264
"Pimiento Rojo 200ml","7000000000377","Verduras","2027-10-16","Fresh Market",2.65,484
"Fresa Pequeño","7000000000378","Frutas","2026-05-09","NaturFresh",10.96,181
"Pan de Molde 200ml","7000000000379","Panaderia","2027-10-11","Bimbo",39.07,432
"Gel de Ducha 200ml","7000000000380","Higiene Personal","2028-01-05","Oral-B",15.7,56
"Melón 2L","7000000000381","Frutas","2027-01-20","Chiquita",31.26,188
"Pan Integral 1L","7000000000382","Panaderia","2028-03-13","Pan Artesano",37.21,186
"Bistec de Res 500ml","7000000000383","Carnes","2027-03-03","Colonial",115.72,392
"Carne Molida de Res Extra","7000000000384","Carnes","2028-10-25","Colonial",133.88,66
"Lentejas 330ml","7000000000385","Granos y Cereales","2026-11-26","Knorr",30.54,188
"Extracto de Vainilla 250g","7000000000386","Harinas y Reposteria","2028-05-18","Selecta",31.93,257
"Pan Blanco 1L","7000000000387","Panaderia","2025-10-08","Bimbo",45.11,412
"Brócoli Pequeño","7000000000388","Verduras","2025-11-02","Verde",18.98,264
"Tomate en Lata Extra","7000000000389","Enlatados","2026-10-15","Hunt's",15.69,316
"Fécula de Maíz Light","7000000000390","Harinas y Reposteria","2026-11-20","Harina Espiga",31.84,261
"Pechuga de Pollo Light","7000000000391","Carnes","2026-09-06","Noel",110.73,9
"Mandarina 250ml","7000000000392","Frutas","2027-05-04","Fresh Del Monte",24.6,408
"Cereal de Arroz Extra","7000000000393","Granos y Cereales","2027-08-30","Maseca",17.68,336
"Dulce de Leche Light","7000000000394","Lacteos","2026-04-12","NaturMilk",59.11,299
"Coliflor Grande","7000000000395","Verduras","2028-07-12","NaturVerd",22.19,397
"Queso Parmesano 1kg","7000000000396","Lacteos","2028-10-26","Sello Rojo",23.16,294
"Limpiavidrios 250g","7000000000397","Limpieza del Hogar","2025-02-08","Ariel",45.28,215
"Piña en Lata 250g","7000000000398","Enlatados","2027-04-21","Campbell's",27.56,314
"Pimiento Verde 1kg","7000000000399","Verduras","2027-11-29","Del Campo",7.81,167
"Cepillo de Dientes Grande","7000000000400","Higiene Personal","2027-02-11","Oral-B",41.67,89
"Cebolla 750ml","7000000000401","Verduras","2028-01-24","Verde",11.92,396
"Espinaca 100g","7000000000402","Verduras","2026-07-26","NaturVerd",17.63,116
"Jugo de Uva 250g","7000000000403","Bebidas","2028-11-14","Coca-Cola",57.87,163
"Coliflor Premium","7000000000404","Verduras","2026-07-15","Bio Selecto",10.06,294
"Servilletas de Papel 6-pack","7000000000405","Limpieza del Hogar","2027-03-20","Lysol",75.47,489
"Mermelada de Naranja 200ml","7000000000406","Frutas","2025-03-28","Chiquita",13.64,366
"Arroz Blanco Pequeño","7000000000407","Granos y Cereales","2028-09-05","Barilla",17.28,246
"Comino Premium","7000000000408","Especias y Condimentos","2026-07-10","Knorr",37.66,357
"Salsa Teriyaki 250ml","7000000000409","Especias y Condimentos","2028-06-14","Knorr",30.93,123
"Mayonesa Grande","7000000000410","Salsas","2026-04-08","Heinz",35.52,27
"Pasta Espagueti 750ml","7000000000411","Granos y Cereales","2027-08-26","Knorr",10.42,395
"Tomate en Lata Premium","7000000000412","Enlatados","2025-11-20","Clemente Jacques",24.24,479
"Vino Tinto Mediano","7000000000413","Alcoholicas","2028-08-25","Santa Rita",59.92,494
"Jugo de Manzana 200ml","7000000000414","Bebidas","2028-08-15","Coca-Cola",9.44,394
"Frijoles Negros 100g","7000000000415","Granos y Cereales","2028-01-01","Mi Cosecha",38.5,436
"Crema de Leche Familiar","7000000000416","Lacteos","2025-12-27","Lala",75.04,19
"Paleta de Mango Mediano","7000000000417","Frutas","2026-01-17","Del Campo",37.65,493
"Nata Montada 1L","7000000000418","Lacteos","2025-01-19","Alpura",27.38,309
"Pasta Fusilli 200ml","7000000000419","Granos y Cereales","2027-07-20","Barilla",49.52,279
"Habas 1kg","7000000000420","Verduras","2027-10-30","Fresh Market",15.1,99
"Nuggets de Pollo 750ml","7000000000421","Carnes","2025-11-29","San Rafael",154.29,332
"Vinagre Blanco","7000000000422","Salsas","2026-11-22","Hellmann's",41.63,291
"Papel Higiénico 500g","7000000000423","Limpieza del Hogar","2028-06-05","Fabuloso",78.49,460
"Mora Grande","7000000000424","Frutas","2026-11-03","Del Campo",6.21,343
"Lentejas 1kg","7000000000425","Granos y Cereales","2027-09-05","La Moderna",20.24,128
"Leche Descremada 6-pack","7000000000426","Lacteos","2026-04-28","Alpura",38.51,137
"Té de Manzanilla Light","7000000000427","Bebidas","2028-03-19","Coca-Cola",5.86,335
"Plátano 1L","7000000000428","Frutas","2028-09-29","Chiquita",7.37,158
"Aceite de Oliva Grande","7000000000429","Aceites y Grasas","2028-12-11","La Española",96.98,354
"Atún en Lata 330ml","7000000000430","Enlatados","2028-06-12","Hunt's",17.73,491
"Maíz Enlatado 1kg","7000000000431","Enlatados","2027-07-21","Campbell's",36.17,311
"Limón Premium","7000000000432","Frutas","2027-08-23","Del Campo",31.02,411
"Hilo Dental 100g","7000000000433","Higiene Personal","2028-10-25","Dove",79.15,448
"Mantequilla de Maní Grande","7000000000434","Lacteos","2027-07-04","Dos Pinos",44.61,186
"Bizcocho 250ml","7000000000435","Panaderia","2025-05-07","El Molino",51.1,463
"Rábano Light","7000000000436","Verduras","2028-01-05","NaturVerd",6.2,168
"Queso Ricotta Pequeño","7000000000437","Lacteos","2025-08-27","NaturMilk",56.02,368
"Salchicha de Cerdo 500ml","7000000000438","Especias y Condimentos","2027-11-12","Goya",20.59,29
"Zanahoria Grande","7000000000439","Verduras","2027-05-01","NaturVerd",14.79,30
"Costilla de Res 200ml","7000000000440","Carnes","2025-02-14","Noel",97.31,419
"Leche Entera Light","7000000000441","Lacteos","2025-05-30","Lala",8.4,177
"Limpiavidrios Premium","7000000000442","Limpieza del Hogar","2025-05-04","Ariel",84.77,36
"Pimiento Verde 200ml","7000000000443","Verduras","2027-04-18","Del Campo",7.04,70
"Mermelada de Fresa 330ml","7000000000444","Frutas","2027-02-23","Del Campo",19.6,470
"Lima 500ml","7000000000445","Frutas","2028-10-30","Del Campo",38.67,448
"Pollo Entero 330ml","7000000000446","Carnes","2025-08-31","Suiza",60.34,276
"Fresa 1kg","7000000000447","Frutas","2026-04-02","NaturFresh",33.89,388
"Queso Fresco Pequeño","7000000000448","Lacteos","2028-10-11","Alpura",58.93,218
"Pechuga de Pollo 100g","7000000000449","Carnes","2026-05-22","Noel",108.31,80
"Agua Pura 250ml","7000000000450","Bebidas","2025-03-07","Del Valle",65.71,215
"Clara de Huevo Pasteurizada 100g","7000000000451","Huevos","2026-02-27","San Juan",18.03,305
"Mantequilla Extra","7000000000452","Lacteos","2028-10-08","Sello Rojo",57.75,25
"Mayonesa 6-pack","7000000000453","Salsas","2027-06-18","Heinz",19.37,112
"Extracto de Vainilla 1kg","7000000000454","Harinas y Reposteria","2027-10-29","Maseca",54.69,120
"Hamburguesa Congelada 750ml","7000000000455","Congelados","2028-03-28","Birds Eye",81.8,345
"Papas a la Francesa Congeladas 100g","7000000000456","Verduras","2026-09-11","Bio Selecto",26.54,339
"Ejote Familiar","7000000000457","Verduras","2026-09-08","NaturVerd",9.7,286
"Filete de Salmón Familiar","7000000000458","Especias y Condimentos","2028-02-13","Knorr",22.35,498
"Leche de Coco Grande","7000000000459","Lacteos","2026-10-15","Sello Rojo",57.22,210
"Piña en Lata 6-pack","7000000000460","Enlatados","2026-01-12","Hunt's",36.4,243
"Mostaza 200ml","7000000000461","Salsas","2028-12-20","Hellmann's",15.77,238
"Tortillas de Maíz Familiar","7000000000462","Panaderia","2027-05-04","El Molino",36.98,69
"Ciruela 2L","7000000000463","Frutas","2026-02-21","Chiquita",15.22,41
"Papa 500ml","7000000000464","Verduras","2028-01-02","Bio Selecto",22.29,98
"Pan Pita 6-pack","7000000000465","Panaderia","2028-10-11","Wonder",39.46,21
"Nata Montada 250g","7000000000466","Lacteos","2028-04-18","Dos Pinos",59.32,287
"Orégano 250g","7000000000467","Especias y Condimentos","2026-11-13","Goya",15.61,466
"Yogur de Fresa 250g","7000000000468","Lacteos","2025-08-29","Lala",61.02,387
"Coliflor Extra","7000000000469","Verduras","2028-12-12","NaturVerd",7.73,469
"Mostaza 750ml","7000000000470","Salsas","2026-08-03","Valentina",25.23,274
"Acondicionador 200ml","7000000000471","Higiene Personal","2026-06-20","Head & Shoulders",45.57,452
"Berenjena 250ml","7000000000472","Verduras","2027-08-20","Fresh Market",23.33,164
"Ajo en Polvo 750ml","7000000000473","Especias y Condimentos","2027-04-28","Maggi",6.6,443
"Tomillo","7000000000474","Especias y Condimentos","2026-06-19","Knorr",24.37,300
"Tocino 200ml","7000000000475","Carnes","2025-11-09","Noel",63.35,118
"Berenjena 750ml","7000000000476","Verduras","2026-06-12","Verde",23.37,251
"Cereal de Arroz Pequeño","7000000000477","Granos y Cereales","2025-12-11","Knorr",38.24,181
"Aceite de Coco Premium","7000000000478","Aceites y Grasas","2027-09-28","Nutrioli",38.4,456
"Pollo Entero Grande","7000000000479","Carnes","2025-03-11","San Rafael",172.64,39
"Papas a la Francesa Congeladas","7000000000480","Verduras","2027-04-25","Del Campo",5.85,323
"Curry en Polvo 1kg","7000000000481","Especias y Condimentos","2025-01-19","McCormick",12.66,234
"Limón Extra","7000000000482","Frutas","2028-07-30","Dole",27.67,316
"Espinaca","7000000000483","Verduras","2025-01-14","Fresh Market",16.9,211
"Yogur de Fresa Grande","7000000000484","Lacteos","2026-07-17","Dos Pinos",45.18,147
"Yogur de Vainilla Familiar","7000000000485","Lacteos","2026-01-03","NaturMilk",13.03,50
"Habas 100g","7000000000486","Verduras","2026-01-29","NaturVerd",19.35,130
"Hamburguesa Congelada 2L","7000000000487","Congelados","2027-03-24","Findus",32.51,492
"Mora Light","7000000000488","Frutas","2026-05-14","Del Campo",39.64,116
"Jugo de Uva 1L","7000000000489","Bebidas","2025-07-11","Tropicana",35.4,194
"Bistec de Res 1L","7000000000490","Carnes","2028-07-28","Noel",31.61,88
"Arroz Integral Familiar","7000000000491","Granos y Cereales","2028-08-13","Knorr",40.51,290
"Queso Crema Grande","7000000000492","Lacteos","2025-03-29","Dos Pinos",22.23,462
"Leche Evaporada Mediano","7000000000493","Lacteos","2026-07-10","NaturMilk",8.49,39
"Bolsas de Basura Premium","7000000000494","Limpieza del Hogar","2028-02-29","Clorox",62.65,92
"Queso Suizo","7000000000495","Lacteos","2026-03-01","Alpura",49.03,386
"Helado de Vainilla 500ml","7000000000496","Congelados","2026-09-05","Ardo",40.43,124
"Chuleta de Cerdo Premium","7000000000497","Carnes","2026-11-11","Noel",95.25,379
"Tomate en Lata Grande","7000000000498","Enlatados","2026-12-10","Clemente Jacques",11.88,224
"Curry en Polvo 750ml","7000000000499","Especias y Condimentos","2028-05-24","McCormick",31.92,489
"Camarón 750ml","7000000000500","Mariscos","2025-03-02","Pescanova",173.17,402
"Papa 100g","7000000000501","Verduras","2026-12-30","Fresh Market",17.49,193
"Melón Light","7000000000502","Frutas","2028-09-15","Chiquita",17.06,396
"Detergente en Polvo 100g","7000000000503","Limpieza del Hogar","2028-12-31","Clorox",15.88,138
"Pera en Lata 1kg","7000000000504","Enlatados","2027-03-09","Campbell's",21.08,55
"Frijoles Rojos 200ml","7000000000505","Granos y Cereales","2027-06-30","Maseca",21.84,139
"Pasta Penne 500ml","7000000000506","Granos y Cereales","2026-01-19","La Moderna",24.96,286
"Lomo de Res Familiar","7000000000507","Carnes","2025-07-31","Fud",34.46,182
"Bistec de Res Extra","7000000000508","Carnes","2028-05-09","San Rafael",163.35,443
"Durazno 200ml","7000000000509","Frutas","2027-04-28","Dole",17.35,44
"Cereal de Arroz 100g","7000000000510","Granos y Cereales","2028-03-17","Mi Cosecha",28.93,351
"Pera 1kg","7000000000511","Frutas","2026-07-05","Chiquita",14.14,253
"Duraznos en Lata 500g","7000000000512","Enlatados","2027-06-10","Clemente Jacques",19.66,154
"Espinaca 330ml","7000000000513","Verduras","2026-05-31","Del Campo",28.44,370
"Suavizante de Ropa Extra","7000000000514","Limpieza del Hogar","2028-06-16","Ajax",25.64,55
"Maíz Enlatado","7000000000515","Enlatados","2027-03-22","Hunt's",21.63,318
"Pera Pequeño","7000000000516","Frutas","2026-11-17","Fresh Del Monte",18.93,422
"Crema Agria 1kg","7000000000517","Lacteos","2026-09-08","NaturMilk",29.05,486
"Guantes de Hule Mediano","7000000000518","Limpieza del Hogar","2026-10-06","Fabuloso",24.21,204
"Café Instantáneo Mediano","7000000000519","Bebidas","2028-03-25","Coca-Cola",63.65,167
"Lima 6-pack","7000000000520","Frutas","2027-01-18","Fresh Del Monte",7.21,289
"Pimienta Negra Premium","7000000000521","Especias y Condimentos","2026-01-04","Schwartz",28.86,282
"Queso Cheddar 250g","7000000000522","Lacteos","2027-06-17","Sello Rojo",64.83,426
"Guantes de Hule Familiar","7000000000523","Limpieza del Hogar","2028-10-10","Ariel",49.94,325
"Refresco de Cola 2L","7000000000524","Bebidas","2028-09-10","Del Valle",16.56,217
"Crema de Avellanas 500ml","7000000000525","Lacteos","2027-07-09","Sello Rojo",79.3,246
"Salchicha de Cerdo Premium","7000000000526","Especias y Condimentos","2027-11-04","Goya",37.32,446
"Guantes de Hule Premium","7000000000527","Limpieza del Hogar","2025-03-17","Ajax",73.26,185
"Limpiavidrios Extra","7000000000528","Limpieza del Hogar","2028-07-30","Lysol",83.15,56
"Mermelada de Fresa 330ml","7000000000529","Frutas","2025-12-07","Chiquita",26.94,23
"Hígado de Res 750ml","7000000000530","Carnes","2027-06-01","Noel",48.01,51
"Vinagre de Manzana Grande","7000000000531","Salsas","2027-11-29","Hellmann's",32.32,353
"Jamón Pequeño","7000000000532","Carnes","2027-02-06","Suiza",96.49,396
"Servilletas de Papel Grande","7000000000533","Limpieza del Hogar","2025-11-05","Lysol",37.6,13
"Espinaca 200ml","7000000000534","Verduras","2027-05-02","Del Campo",27.78,44
"Fideos 330ml","7000000000535","Granos y Cereales","2026-10-01","La Moderna",21.09,402
"Ajo en Polvo Mediano","7000000000536","Especias y Condimentos","2026-12-15","Schwartz",21.67,225
"Cereal de Trigo 750ml","7000000000537","Desayuno","2025-05-18","Quaker",38.02,415
"Avena en Hojuelas","7000000000538","Desayuno","2026-12-04","Kellogg's",58.88,347
"Hummus 100g","7000000000539","Verduras","2027-11-23","NaturVerd",6.88,82
"Té de Manzanilla Familiar","7000000000540","Bebidas","2027-08-05","Nestlé",22.39,208
"Blanqueador 500g","7000000000541","Limpieza del Hogar","2028-08-04","Fabuloso",62.58,203
"Queso Mozzarella 250g","7000000000542","Lacteos","2027-07-10","NaturMilk",49.42,200
"Leche Descremada 250g","7000000000543","Lacteos","2026-07-25","Lala",61.42,415
"Tahini Light","7000000000544","Especias y Condimentos","2025-07-28","McCormick",32.98,275
"Miel de Abeja 750ml","7000000000545","Endulzantes","2026-02-08","Azucarera",31.79,135
"Enjuague Bucal Grande","7000000000546","Higiene Personal","2028-08-01","Oral-B",41.64,199
"Huevo de Codorniz Light","7000000000547","Huevos","2025-08-22","NaturEgg",30.66,433
"Cebolla 500g","7000000000548","Verduras","2028-10-11","Verde",21.77,153
"Clara de Huevo Pasteurizada 500ml","7000000000549","Huevos","2028-10-08","AviCamp",21.03,61
"Mostaza 250ml","7000000000550","Salsas","2026-01-10","Lea & Perrins",24.93,73
"Champiñón Familiar","7000000000551","Verduras","2028-05-06","Fresh Market",5.86,197
"Papaya Mediano","7000000000552","Frutas","2028-07-25","Chiquita",22.88,471
"Champú Premium","7000000000553","Higiene Personal","2025-12-08","Dove",56.62,72
"Miel de Abeja Pequeño","7000000000554","Endulzantes","2028-06-22","Azucarera",10.79,184
"Yogur Natural 1kg","7000000000555","Lacteos","2026-02-04","Sello Rojo",66.14,494
"Costilla de Res Mediano","7000000000556","Carnes","2027-04-18","Fud",146.4,213
"Avena en Hojuelas Mediano","7000000000557","Desayuno","2025-12-09","Quaker",24.96,16
"Tahini 200ml","7000000000558","Especias y Condimentos","2025-03-08","Knorr",14.62,276
"Jugo de Manzana Pequeño","7000000000559","Bebidas","2028-03-04","Del Valle",60.69,393
"Calabacín Grande","7000000000560","Verduras","2025-08-20","Verde",18.04,138
"Mermelada de Mora 330ml","7000000000561","Frutas","2028-01-16","NaturFresh",33.44,22
"Chispas de Chocolate Premium","7000000000562","Harinas y Reposteria","2026-03-24","Fleischmann",54.52,53
"Harina de Avena 200ml","7000000000563","Desayuno","2025-03-08","Nestlé",46.98,179
"Crema Agria Pequeño","7000000000564","Lacteos","2025-08-29","Dos Pinos",63.17,122
"Cebolla en Polvo 330ml","7000000000565","Especias y Condimentos","2028-12-26","Schwartz",26.36,220
"Aceite de Girasol 1kg","7000000000566","Aceites y Grasas","2026-02-28","Mazola",101.35,413
"Tortillas de Harina 330ml","7000000000567","Panaderia","2027-12-27","El Molino",22.62,276
"Aceite de Coco 200ml","7000000000568","Aceites y Grasas","2026-08-16","Carbonell",77.27,488
"Queso Crema 250ml","7000000000569","Lacteos","2025-10-05","NaturMilk",77.21,403
"Uva Morada 2L","7000000000570","Frutas","2028-09-05","Dole",7.69,444
"Frijoles Enlatados 1kg","7000000000571","Granos y Cereales","2028-12-27","La Moderna",20.17,127
"Chispas de Chocolate Mediano","7000000000572","Harinas y Reposteria","2025-10-19","Fleischmann",35.14,138
"Suavizante de Ropa 6-pack","7000000000573","Limpieza del Hogar","2027-07-15","Ajax",16.04,407
"Vino Tinto 6-pack","7000000000574","Alcoholicas","2027-11-22","Corona",142.47,356
"Suero de Leche Pequeño","7000000000575","Lacteos","2027-09-27","Alpura",29.55,2
"Leche Evaporada Pequeño","7000000000576","Lacteos","2028-07-24","Dos Pinos",54.81,184
"Queso Suizo Premium","7000000000577","Lacteos","2027-03-26","Dos Pinos",21.34,220
"Helado de Chocolate Mediano","7000000000578","Congelados","2026-07-04","Iglo",55.67,146
"Leche de Almendra Light","7000000000579","Lacteos","2025-09-25","NaturMilk",47.46,249
"Mantequilla de Maní 1L","7000000000580","Lacteos","2025-04-05","Alpura",12.47,402
"Paleta de Mango","7000000000581","Frutas","2025-09-12","Del Campo",37.39,81
"Coco Rallado","7000000000582","Frutas","2027-05-27","Del Campo",10.49,353
"Frijoles Enlatados 500g","7000000000583","Granos y Cereales","2026-07-16","Barilla",10.11,185
"Salsa de Soya 330ml","7000000000584","Especias y Condimentos","2028-09-22","McCormick",36.63,85
"Pan Pita 200ml","7000000000585","Panaderia","2028-12-03","Pan Artesano",47.27,220
"Gel de Ducha 250ml","7000000000586","Higiene Personal","2025-01-03","Colgate",33.14,40
"Frijoles Enlatados 100g","7000000000587","Granos y Cereales","2027-11-30","Mi Cosecha",35.92,5
"Yogur Natural 250ml","7000000000588","Lacteos","2027-05-15","Alpura",57.05,245
"Galletas Saladas 6-pack","7000000000589","Panaderia","2025-07-02","Marinela",46.0,53
"Pasta Penne 330ml","7000000000590","Granos y Cereales","2026-09-05","Barilla",12.03,397
"Hamburguesa Congelada 1kg","7000000000591","Congelados","2025-05-21","Iglo",75.4,5
"Huevo de Codorniz Pequeño","7000000000592","Huevos","2026-12-21","Los Pollos",47.51,322
"Levadura Familiar","7000000000593","Harinas y Reposteria","2028-06-15","Selecta",40.27,441
"Orégano 250ml","7000000000594","Especias y Condimentos","2025-10-14","McCormick",31.34,302
"Harina de Trigo 330ml","7000000000595","Harinas y Reposteria","2027-05-30","Fleischmann",22.78,72
"Salsa Inglesa 500ml","7000000000596","Especias y Condimentos","2026-05-24","Maggi",24.37,308
"Cereal de Trigo 200ml","7000000000597","Desayuno","2028-11-15","Post",21.61,434
"Pasta de Dientes 250g","7000000000598","Granos y Cereales","2027-11-27","Barilla",32.7,97
"Levadura 200ml","7000000000599","Harinas y Reposteria","2028-08-16","Fleischmann",10.56,460
"Tahini Mediano","7000000000600","Especias y Condimentos","2027-03-02","Knorr",8.95,256
"Jabón de Barra 500ml","7000000000601","Higiene Personal","2027-12-18","Gillette",90.54,7
"Plátano 1kg","7000000000602","Frutas","2027-03-04","Fresh Del Monte",34.85,292
"Mango Premium","7000000000603","Frutas","2028-10-30","Fresh Del Monte",9.39,242
"Mermelada de Naranja","7000000000604","Frutas","2028-04-17","Dole",5.5,135
"Orégano 1L","7000000000605","Especias y Condimentos","2027-03-27","McCormick",22.73,322
"Granola Familiar","7000000000606","Desayuno","2027-05-18","Post",62.11,43
"Jabón de Barra Premium","7000000000607","Higiene Personal","2028-06-15","Gillette",27.98,43
"Refresco de Lima Grande","7000000000608","Bebidas","2026-02-21","Tropicana",78.07,80
"Muslo de Pollo 6-pack","7000000000609","Carnes","2028-04-16","Colonial",137.83,428
"Acondicionador 200ml","7000000000610","Higiene Personal","2028-12-01","Colgate",52.19,489
"Queso Gouda 1L","7000000000611","Lacteos","2026-05-16","Lala",11.47,223
"Fideos Extra","7000000000612","Granos y Cereales","2028-05-31","Knorr",8.42,342
"Fécula de Maíz 250ml","7000000000613","Harinas y Reposteria","2025-01-26","Selecta",41.27,360
"Yogur Natural Mediano","7000000000614","Lacteos","2026-12-12","Lala",44.23,401
"Helado de Vainilla 500g","7000000000615","Congelados","2027-02-01","Findus",37.06,400
"Nata Montada 250ml","7000000000616","Lacteos","2025-03-02","Alpura",30.13,220
"Salsa Teriyaki 500ml","7000000000617","Especias y Condimentos","2026-06-23","Schwartz",29.93,296
"Suavizante de Ropa Mediano","7000000000618","Limpieza del Hogar","2027-07-22","Ariel",50.86,29
"Berenjena 500g","7000000000619","Verduras","2027-01-24","Verde",6.4,396
"Pasta Penne 250ml","7000000000620","Granos y Cereales","2026-04-13","Mi Cosecha",38.59,2
"Pan Integral 100g","7000000000621","Panaderia","2025-04-05","Bimbo",32.53,197
"Piña en Lata 1L","7000000000622","Enlatados","2028-02-07","Del Monte",38.11,366
"Fécula de Maíz 100g","7000000000623","Harinas y Reposteria","2026-10-22","Fleischmann",19.67,469
"Cereal de Trigo 2L","7000000000624","Desayuno","2025-06-09","General Mills",54.29,62
"Apio 500g","7000000000625","Verduras","2026-04-03","Del Campo",24.52,24
"Frambuesa Pequeño","7000000000626","Frutas","2026-08-02","Dole",31.62,160
"Té Verde Premium","7000000000627","Bebidas","2027-07-25","Tropicana",5.6,103
